Stock,ATR,BB_Width,Volatility,Williams_R_Abs,Beta
AAPL,3.85,0.082,0.028,22.3,1.24
GOOGL,7.12,0.094,0.032,18.7,1.11
MSFT,8.45,0.078,0.025,15.2,0.89
AMZN,6.92,0.108,0.041,28.4,1.34
META,12.34,0.125,0.048,31.8,1.28
NFLX,18.67,0.142,0.058,42.1,1.52
ADBE,23.45,0.115,0.045,25.6,1.18
QCOM,8.78,0.098,0.038,21.4,1.31
INTC,1.89,0.087,0.033,19.8,1.08
CRWD,11.23,0.156,0.064,38.7,1.67
DDOG,5.67,0.134,0.051,29.2,1.45
NET,3.45,0.147,0.062,35.4,1.58
SNOW,8.91,0.138,0.055,32.1,1.42
WDAY,12.78,0.119,0.047,26.8,1.23
OKTA,4.23,0.167,0.071,41.3,1.72
AMGN,7.56,0.089,0.034,17.6,0.95
GILD,2.34,0.076,0.029,14.2,0.78
VRTX,15.67,0.102,0.039,23.5,1.02
BIIB,8.45,0.143,0.057,36.8,1.35
REGN,19.23,0.111,0.043,24.7,0.97
ILMN,6.78,0.159,0.065,39.2,1.61
MRNA,14.56,0.198,0.084,48.6,1.89
BMRN,9.34,0.128,0.049,27.3,1.25
EXAS,7.89,0.145,0.059,34.7,1.48
DXCM,11.45,0.124,0.048,26.1,1.19
COST,5.23,0.067,0.024,12.8,0.82
SBUX,3.67,0.085,0.032,18.9,1.14
ABNB,8.91,0.162,0.068,40.1,1.69
BKNG,45.67,0.093,0.035,19.4,1.07
EBAY,2.78,0.096,0.037,20.6,1.16
LULU,12.34,0.118,0.046,25.2,1.21
DECK,8.56,0.137,0.054,31.5,1.38
ULTA,15.23,0.126,0.049,28.7,1.27
PEP,3.45,0.071,0.026,13.4,0.84
MDLZ,2.89,0.074,0.028,15.6,0.91
CMCSA,1.67,0.083,0.031,16.8,0.98
CHTR,23.45,0.109,0.042,24.3,1.15
FOXA,1.23,0.091,0.034,18.2,1.12
PYPL,3.78,0.151,0.061,37.4,1.56
COIN,12.67,0.234,0.098,52.8,2.14
HOOD,2.34,0.189,0.078,45.3,1.87
ENPH,6.45,0.174,0.072,43.2,1.78
PLUG,1.89,0.205,0.087,49.1,1.96
TSLA,15.67,0.168,0.069,41.8,1.73
RIVN,4.23,0.192,0.081,46.7,1.91