Model,Parameters_B,Training_GPU_Hours_K,Context_Window_K,Inference_Speed_TPS,Memory_GB
Claude_Sonnet_4,175,9000,200,80,350
Claude_Sonnet_4.5,175,10000,200,75,350
Claude_Opus_4,220,12000,200,45,440
Claude_Opus_4.1,220,12500,200,50,440
GPT-o1,150,25000,128,25,300
GPT-o3,200,35000,200,20,400
GPT-4.5,280,40000,128,40,560
GPT-5,500,80000,256,35,1000
Gemini_2.0_Flash,70,18000,1000,168,140
Gemini_2.5_Pro,180,45000,1000,90,360
Gemini_2.5_Flash,100,25000,1000,193,200
Llama_3.3_70B,70,7000,128,81,140
Llama_4_Scout,17,12000,10000,400,55
Llama_4_Maverick,17,18000,1000,200,200
Llama_4_Behemoth,288,60000,1000,50,1800
DeepSeek_V3.1,37,3200,128,215,150
DeepSeek-R1,37,2894,128,60,150
DeepSeek-R1-Zero,37,2800,128,55,150
Grok-3,180,50000,1000,85,360
Grok-4,250,75000,1000,70,500
Qwen3-235B,22,40000,128,180,300
Qwen_2.5_Coder_32B,32,8000,32,110,66
Qwen2.5_Max,70,28000,128,150,140
Mistral_Large_2,123,22000,128,95,246
Mixtral_8x22B,39,18000,64,120,300
GPT-5-Codex,300,50000,128,45,600